id,university,universityNative,country,city,lat,lng,region,website,established,program_level,program_name,program_duration
2250,Cheongju University,청주대학교,South Korea,Cheongju,36.6372,127.4897,asia,https://www.cju.ac.kr,1947,master,Land Management,2
3001,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,Ghana,Kumasi,6.6739,,africa,https://www.knust.edu.gh,1952,bachelor,Land Economy,4
3001,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,Ghana,Kumasi,6.6739,,africa,https://www.knust.edu.gh,1952,master,Land Governance and Policy,2
3011,Makerere University,Makerere University,Uganda,Kampala,0.3347,32.5695,africa,https://www.mak.ac.ug,1922,bachelor,Land Economics,4
3011,Makerere University,Makerere University,Uganda,Kampala,0.3347,32.5695,africa,https://www.mak.ac.ug,1922,master,Land Management,2
3021,Namibia University of Science and Technology,Namibia University of Science and Technology,Namibia,Windhoek,,17.0658,africa,https://www.nust.na,1994,bachelor,Land Management,4
3021,Namibia University of Science and Technology,Namibia University of Science and Technology,Namibia,Windhoek,,17.0658,africa,https://www.nust.na,1994,master,Land and Water Management ,2
3030,Alexandria University,جامعة الإسكندرية,Egypt,Alexandria,31.2016,29.9113,africa,https://agr.alexu.edu.eg,1942,master,Sustainable Land Management,2
3040,Federal University Oye Ekiti,Federal University Oye Ekiti,Nigeria,Oye Ekiti,7.7983,5.3173,africa,http://ssc.fuoye.edu.ng,2011,bachelor,Agriculture in Soil Science and Land Resources Management,5
3040,Federal University Oye Ekiti,Federal University Oye Ekiti,Nigeria,Oye Ekiti,7.7983,5.3173,africa,http://ssc.fuoye.edu.ng,2011,master,Soil Science & Land Resources Management,2
3041,University of Benin,University of Benin,Nigeria,Benin City,6.3350,5.6037,africa,https://www.uniben.edu,1970,master,Soil Science And Land Management,2
3050,Gaston Berger University,Université Gaston Berger,Senegal,Saint-Louis,16.0326,,africa,https://www.ugb.sn,1990,master,Land Governance and Territory Management,2
3060,Njala University,Njala University,Sierra Leone,Njala Koryama,7.9355,,africa,https://www.njala.edu.sl,1964,bachelor,Land Resource Management,4
3060,Njala University,Njala University,Sierra Leone,Njala Koryama,7.9355,,africa,https://www.njala.edu.sl,1964,master,Land Administration and Management,1
3002,University of Cape Coast,University of Cape Coast,Ghana,Cape Coast,5.1037,,africa,https://ucc.edu.gh,1962,master,Land Policy and Administration,2
3070,University of Lomé,Université de Lomé,Togo,Lomé,6.1764,1.2119,africa,https://www.univ-lome.tg,1970,bachelor,Geography - Land Use Planning Specialty,3
3080,Bahir Dar University,ባሕር ዳር ዩኒቨርሲቲ,Ethiopia,Bahir Dar,11.5742,37.3614,africa,https://www.bdu.edu.et,2000,bachelor,Land Administration,4
3080,Bahir Dar University,ባሕር ዳር ዩኒቨርሲቲ,Ethiopia,Bahir Dar,11.5742,37.3614,africa,https://www.bdu.edu.et,2000,master,Land Administration and Management,2
3090,Ramaas University,Jaamacadda Ramaas,Somalia,Mogadishu,2.0469,45.3182,africa,https://www.ramaas.edu.so,2013,bachelor,Land and Water Management,4
3100,Malawi University of Business and Applied Sciences,Malawi University of Business and Applied Sciences,Malawi,Blantyre,,35.0058,africa,https://www.mubas.ac.mw,2012,bachelor,Land Economy,4
